,penyakit,gejala
73,Testicular Tumor (Leydig Cell) in Cats," and Types


    One 	or more round masses (1-2 cm in diameter) in a testicle
    There 	are generally no symptoms with this type of tumor, unless it is 	actually a Sertoli cell tumor (cells which help nourish spermatids 	as they transform into spermatozoa in the testicles)
    Signs 	of a Sertoli cell tumor:
    
        Feminization 		(from secretion of estrogen)
        Bone 		marrow underdevelopment
    
    


"
74,Testicular Swelling in Cats," and Types

The symptoms of epididymitis and orchitis can be localized in the area of the scrotum. These include:


    Swollen testicles
    Licking of the scrotum and scrotal 	skin irritation (dermatitis)
    Non-localized symptoms include 	pain and fever
    Unwillingness to walk and general 	lethargy
    Open wound
    Refusal to eat
    In addition, infertility may be diagnosed in animals with this  condition


"
75,Temporomandibular Joint Disorders in Cats," and Types
 

    Difficulty opening/closing the mouth
    Mandible bone may be out of place and visible form the side of the face (deviation of the mandible bone)
    Pain when chewing food
    Vocalizing, mewing while trying to eat
    Loss of appetite


"
76,Teeth Misalignment in Cats," and Types of Malocclusion of Teeth



Common problems that can arise from tooth malocclusion:




	Mouth injuries
	Periodontal disease
	Soft-tissue defects from tooth contact in the floor of the mouth and the roof of the mouth (palate)
	Wear on the teeth
	Fractures




If problems with the palate persist, a fistula may result and become infected. In cases of misaligned teeth, the cat may have difficulty chewing, picking up food, and may be inclined to eat only larger pieces. They are also prone to tartar and plaque build-up.



There are several types of diagnosable malocclusion:




	Overbite (sometimes called overshot, Class 2, overjet, or mandibular brachygnathism)
	Underbite (also called undershot, reverse scissor bite, prognathism, and Class 3)
	Level bite (sometimes called even bite)
	Open bite (front teeth don’t meet each other when mouth is closed)
	Anterior crossbite (canine and premolars occlude normally but one or more lower incisors are in front of the upper incisors)
	Posterior crossbite (one or more premolar teeth overlap the upper teeth)
	Wry mouth or bite (one side of jaw grows longer than the other)
	Base narrow canines (lower teeth protrude inward and can harm the upper palate)




With an overbite, the upper jaw is longer than the lower one. When the mouth is closed, a gap between the upper and lower incisors occurs. Kittens born with an overbite will sometimes have the problem correct itself if the gap is not too large. However, a cat's bite will usually set at ten months old. At this time improvement will not happen on its own. Your pet's overbite may worsen as the permanent teeth come in because they are larger and can damage the soft parts of the mouth. Teeth extractions are sometimes necessary.



"
77,Tear in the Heart in Cats," and Types


    Sudden weakness
    Fainting
    Sudden death
    Rapid heart rate
    Ascites (abnormal collection of fluid in the abdomen)
    Difficult breathing


"
78,Taurine Deficiency in Cats," of Taurine Deficiency in Cats
Symptoms usually develop only after months of not eating enough taurine, but typically include the following:


	
	Eye damage with lesions that can lead to blindness—You may first notice your cat bumping into objects, seeming disoriented, having difficulty finding food/water bowls and toys, and showing reluctance to enter dark rooms or go up and down stairs. You may even see a greater sheen (reflectiveness) in their eyes.
	
	
	Impaired reproduction—This may result in spontaneous abortion, infertility, low birth weights, and birth defects. Affected kittens may have stunted growth and development.
	
	
	Heart dysfunction and dilated cardiomyopathy (DCM)—This can lead to eventual heart failure. Pet parents may see their cat having difficulty breathing, pale or blue gums, a weak pulse, generalized weakness, collapse, and even death.
	
	
	Deafness
	
	
	Immune deficiency, which may show as recurrent infections
	
	
	Poor appetite
	
	
	Exercise intolerance
	
	
	Muscle atrophy
	


"
79,Tapeworms in Cats," of Tapeworms in Cats
Proglottids are the egg-containing segments of a tapeworm’s body. When they first come out of your cat’s anus, they look like pieces of white rice, and they may wiggle for a while. Sometimes several tapeworm segments will be stuck together end-to-end. As they dry out, they become harder and more yellow than white.

Other than the presence of proglottids, most cats with tapeworms don’t have many other symptoms.

However, some possible symptoms of tapeworms in cats include:


	
	Scooting
	
	
	Licking at the hind end
	
	
	Diarrhea
	
	
	Vomiting
	


In rare cases, intestinal blockage and signs of systemic disease such as a poor appetite, low energy, and weight loss can occur.

Click for sound0:00

"
80,Systemic Autoimmune Disease in Cats," and Types



Clinical symptoms depend on the localization of the immune complexes, along with the specificity of the autoantibodies. However, genetic, environmental, pharmacologic, and infectious factors may play a role in the appearance of clinical signs such as letahrgy, loss of appetite (anorexia), and fever, which is especially seen in the acute phase. Other signs include:



Musculoskeletal


	Deposition of immune complexes in the synovial membranes (the soft tissue lining the surfaces within the joints)
	Swollen and/or painful joints - major presenting sign in most patients
	Shifting-leg lameness
	Muscle pain or wasting




Skin/exocrine 


	Deposition of immune complexes in the skin
	Skin lesions
	Symmetric or focal skin lesions - redness, scaling, ulcers, depigmentation, and/or hair loss
	Ulceration of mucocutaneous junctions and oral mucosa may develop - a region of skin comprising both mucosa and cutaneous skin; these mostly occur near the orifices of the body at which the external skin stops and the mucosa that covers the inside of the body starts (e.g., mouth, anus, nostrils)




Renal/urologic 


	Deposition of immune complexes in the kidney
	Hepatosplenomegaly - enlargement of the kidney and the liver




Blood/lymph/immune system 


	Autoantibodies against erythrocytes, leukocytes, or platelets (red and white blood cells)
	Lymphadenopathy - swollen lymph nodes
	Other organ systems may be affected if there is deposition of immune complexes or antibodies, or when T cell-mediated cells (lymphocytes) attack




"
81,Synechiae in Cats," and Types

Synechiae may be anterior or posterior.


    Anterior synechiae is      defined as an adhesion between the iris and the cornea. The cornea is the      transparent cover of the front of the eye.
    Posterior synechiae is      the adherence of the iris to the capsule surrounding the lens of the eye.


Symptoms seen with synechiae include:


    Squinting
    Corneal lesions, such      as ulcers
    Excessive tearing
    Glaucoma
    Variation in the color      of the iris
    Opacity of the lens
    Uveitis
    Decreased papillary      reaction to light


"
82,Swelling of the Salivary Gland in Cats," of Swelling of the Salivary Gland in Cats
Clinical signs of a salivary mucocele vary, depending on which glands are affected and the extent of  damage. Often the first sign is a soft, nonpainful, slow-growing swelling on the neck, with or without excessive drooling. The swelling can be noticed on the side of the face as well, but often the saliva pools downward and the swelling is first noticed on the neck.

When the salivary glands under the tongue are affected, you may notice your cat is having trouble eating, chewing, or swallowing. Sometimes the swelling under the tongue is not noticed until your cat accidentally injures the area (usually when eating) and it begins to bleed.

When the salivary glands closer to the throat are damaged, this can be much more serious, causing difficulty breathing.

The least common salivary gland to be affected is under the eye, which can cause a swelling similar to that from an infected tooth root. A salivary mucocele is generally nonpainful, but the gland can become infected, causing pain and even a fever.

A tumor can also cause the swelling to be painful, and often it is harder in texture than a mucocele alone. You may notice your cat dropping food while eating, not eating as much, or not eating at all.  When cats get a mucocele on the neck or the lower jaw, there are often no signs other than the visible swelling.

"
83,Swelling of the Optic Disk in the Retina of Cats," and Types
 
Depending on whether the nerves in both eyes have been affected, it may be difficult to observe symptoms. If both nerves are inflamed then signs of blindness will normally be present.
 
Symptoms will include bumping into things; getting lost within the normal habitat; a fearful attitude; and being incapable of catching toys or finding objects. Aggressive behavior may also be present. If the disease has affected the cat's brain, neurological indicators will be present. However, if the disease is systemic in nature, the cat may display signs of weakness, anorexia and lethargy.
 
"
84,Swallowing Difficulties in Cats," and Types



Oral dysphagia can be caused by dental disease, tongue paralysis, paralysis of the jaw, swelling or wasting away of the chewing muscles, or by an inability to open the mouth. Cats with oral dysphagia often eat in an altered way, such as tilting the head to one side or throwing the head backward while eating. Food packed in the cheek folds of the mouth without saliva are also typical signs of oral dysphagia.



Pharyngeal dysphagia is when the cat can grab food, but must repeatedly attempt to swallow while flexing and extending the head and neck, chewing excessively and gagging. While food is retained in the cheek folds of the mouth, it is saliva-coated. There is a diminished gag reflex and there may be snotty discharge from the nose.



With cricopharyngeal dysphagia, the cat may succeed at swallowing after several attempts, but afterward it gags, coughs and forcibly throws its food back up. Unlike pharyngeal dysphagia, the gag reflex is normal. Animals suffering from cricopharyngeal dysphagia are often very thin.



"
